date,city,population,population_imp,case,case_imp,death,death_imp,rate,rate_imp
1685592000.0,Killingly,17336.0,0,5226.0,0,90.0,0,61.08019172112543,1
1685592000.0,Killingworth,6364.0,0,1346.0,0,12.0,0,0.0,0
1685592000.0,Lebanon,7144.0,0,1696.0,0,9.0,0,0.0,0
1685592000.0,Ledyard,14621.0,0,4051.0,0,18.0,0,0.0,0
1685592000.0,Lisbon,4220.0,0,1063.0,0,15.0,0,0.0,0
1685592000.0,Litchfield,8094.0,0,1622.0,0,14.0,0,0.0,0
1685592000.0,Lyme,2316.0,0,400.0,0,3.0,0,0.0,0
1685592000.0,Madison,18030.0,0,4403.0,0,51.0,0,66.40119097465778,1
1685592000.0,Manchester,57584.0,0,14611.0,0,209.0,0,10.4196,0
1685592000.0,Mansfield,25487.0,0,3557.0,0,36.0,0,0.0,0
1685592000.0,Marlborough,6335.0,0,1411.0,0,33.0,0,0.0,0
1685592000.0,Meriden,59395.0,0,20323.0,0,249.0,0,53.03118258234903,1
1685592000.0,Middlebury,7798.0,0,1931.0,0,25.0,0,0.0,0
1685592000.0,Middlefield,4374.0,0,871.0,0,7.0,0,0.0,0
1685592000.0,Middletown,46258.0,0,13074.0,0,199.0,0,73.42435932569704,1
1685592000.0,Milford,54747.0,0,15442.0,0,211.0,0,10.9595,0
1685592000.0,Monroe,19434.0,0,4961.0,0,27.0,0,64.25849238054175,1
1685592000.0,Montville,18508.0,0,5584.0,0,55.0,0,59.29096813262476,1
1685592000.0,Morris,2254.0,0,393.0,0,3.0,0,0.0,0
1685592000.0,Naugatuck,31108.0,0,9653.0,0,157.0,0,62.85312742264315,1
1685592000.0,New Britain,72495.0,0,23286.0,0,299.0,0,19.3117,0
1685592000.0,New Canaan,20233.0,0,4264.0,0,52.0,0,72.17415372805048,1
1685592000.0,New Fairfield,13878.0,0,2980.0,0,16.0,0,0.0,0
1685592000.0,New Hartford,6656.0,0,1322.0,0,7.0,0,61.451189550595934,1
1685592000.0,New Haven,130250.0,0,42953.0,0,321.0,0,8.4453,0
1685592000.0,New London,26858.0,0,9407.0,0,58.0,0,50.405233492902084,1
1685592000.0,New Milford,26805.0,0,6186.0,0,69.0,0,37.3065,0
1685592000.0,Newington,30014.0,0,8144.0,0,157.0,0,71.15852583458295,1
1685592000.0,Newtown,27891.0,0,6329.0,0,95.0,0,76.25443143729385,1
1685592000.0,Norfolk,1630.0,0,162.0,0,2.0,0,0.0,0
1685592000.0,North Branford,14146.0,0,3832.0,0,42.0,0,0.0,0
1685592000.0,North Canaan,3251.0,0,664.0,0,21.0,0,0.0,0
1685592000.0,North Haven,23683.0,0,7375.0,0,80.0,0,59.04756593407785,1
1685592000.0,North Stonington,5196.0,0,1181.0,0,14.0,0,0.0,0
1685592000.0,Norwalk,88816.0,0,27201.0,0,299.0,0,70.29678713522718,1
1685592000.0,Norwich,38768.0,0,12829.0,0,115.0,0,54.76170758286279,1
1685592000.0,Old Lyme,7306.0,0,1655.0,0,6.0,0,0.0,0
1685592000.0,Old Saybrook,10061.0,0,2623.0,0,73.0,0,62.948239698949315,1
1685592000.0,Orange,13926.0,0,3754.0,0,30.0,0,61.08581159776029,1
1685592000.0,Oxford,13255.0,0,3097.0,0,42.0,0,0.0,0
1685592000.0,Plainfield,15125.0,0,4434.0,0,57.0,0,0.0,0
1685592000.0,Plainville,17534.0,0,4854.0,0,74.0,0,39.9224,0
1685592000.0,Plymouth,11598.0,0,2834.0,0,23.0,0,62.21899146479336,1
1685592000.0,Pomfret,4203.0,0,948.0,0,8.0,0,0.0,0
1685592000.0,Portland,9267.0,0,2022.0,0,34.0,0,63.49935251510673,1
1685592000.0,Preston,4625.0,0,1298.0,0,11.0,0,0.0,0
1685592000.0,Prospect,9702.0,0,2465.0,0,12.0,0,0.0,0
1685592000.0,Putnam,9389.0,0,2501.0,0,42.0,0,0.0,0
1685592000.0,Redding,9116.0,0,1683.0,0,23.0,0,65.00898905144419,1
1685592000.0,Ridgefield,24959.0,0,5349.0,0,80.0,0,76.10447489878833,1
1685592000.0,Rocky Hill,20115.0,0,5313.0,0,157.0,0,69.85671394129847,1
1685592000.0,Roxbury,2152.0,0,398.0,0,2.0,0,0.0,0
1685592000.0,Salem,4083.0,0,1003.0,0,7.0,0,0.0,0
1685592000.0,Salisbury,3600.0,0,692.0,0,7.0,0,0.0,0
1685592000.0,Scotland,1672.0,0,139.0,0,2.0,0,0.0,0
