date,city,population,case,death,rate
2023-06-01 00:00:00,Litchfield,8094.0,1622.0,14.0,0.0
2023-06-01 00:00:00,Lyme,2316.0,400.0,3.0,0.0
2023-06-01 00:00:00,Madison,18030.0,4403.0,51.0,66.40119097465778
2023-06-01 00:00:00,Manchester,57584.0,14611.0,209.0,10.4196
2023-06-01 00:00:00,Mansfield,25487.0,3557.0,36.0,0.0
2023-06-01 00:00:00,Marlborough,6335.0,1411.0,33.0,0.0
2023-06-01 00:00:00,Meriden,59395.0,20323.0,249.0,53.03118258234903
2023-06-01 00:00:00,Middlebury,7798.0,1931.0,25.0,0.0
2023-06-01 00:00:00,Middlefield,4374.0,871.0,7.0,0.0
2023-06-01 00:00:00,Middletown,46258.0,13074.0,199.0,73.42435932569704
2023-06-01 00:00:00,Milford,54747.0,15442.0,211.0,10.9595
2023-06-01 00:00:00,Monroe,19434.0,4961.0,27.0,64.25849238054175
2023-06-01 00:00:00,Montville,18508.0,5584.0,55.0,59.29096813262476
2023-06-01 00:00:00,Morris,2254.0,393.0,3.0,0.0
2023-06-01 00:00:00,Naugatuck,31108.0,9653.0,157.0,62.85312742264315
2023-06-01 00:00:00,New Britain,72495.0,23286.0,299.0,19.3117
2023-06-01 00:00:00,New Canaan,20233.0,4264.0,52.0,72.17415372805048
2023-06-01 00:00:00,New Fairfield,13878.0,2980.0,16.0,0.0
2023-06-01 00:00:00,New Hartford,6656.0,1322.0,7.0,61.451189550595934
2023-06-01 00:00:00,New Haven,130250.0,42953.0,321.0,8.4453
2023-06-01 00:00:00,New London,26858.0,9407.0,58.0,50.405233492902084
2023-06-01 00:00:00,New Milford,26805.0,6186.0,69.0,37.3065
2023-06-01 00:00:00,Newington,30014.0,8144.0,157.0,71.15852583458295
2023-06-01 00:00:00,Newtown,27891.0,6329.0,95.0,76.25443143729385
2023-06-01 00:00:00,Norfolk,1630.0,162.0,2.0,0.0
2023-06-01 00:00:00,North Branford,14146.0,3832.0,42.0,0.0
2023-06-01 00:00:00,North Canaan,3251.0,664.0,21.0,0.0
2023-06-01 00:00:00,North Haven,23683.0,7375.0,80.0,59.04756593407785
2023-06-01 00:00:00,North Stonington,5196.0,1181.0,14.0,0.0
2023-06-01 00:00:00,Norwalk,88816.0,27201.0,299.0,70.29678713522718
2023-06-01 00:00:00,Norwich,38768.0,12829.0,115.0,54.76170758286279
2023-06-01 00:00:00,Old Lyme,7306.0,1655.0,6.0,0.0
2023-06-01 00:00:00,Old Saybrook,10061.0,2623.0,73.0,62.948239698949315
2023-06-01 00:00:00,Orange,13926.0,3754.0,30.0,61.08581159776029
2023-06-01 00:00:00,Oxford,13255.0,3097.0,42.0,0.0
2023-06-01 00:00:00,Plainfield,15125.0,4434.0,57.0,0.0
2023-06-01 00:00:00,Plainville,17534.0,4854.0,74.0,39.9224
2023-06-01 00:00:00,Plymouth,11598.0,2834.0,23.0,62.21899146479336
2023-06-01 00:00:00,Pomfret,4203.0,948.0,8.0,0.0
2023-06-01 00:00:00,Portland,9267.0,2022.0,34.0,63.49935251510673
2023-06-01 00:00:00,Preston,4625.0,1298.0,11.0,0.0
2023-06-01 00:00:00,Prospect,9702.0,2465.0,12.0,0.0
2023-06-01 00:00:00,Putnam,9389.0,2501.0,42.0,0.0
2023-06-01 00:00:00,Redding,9116.0,1683.0,23.0,65.00898905144419
2023-06-01 00:00:00,Ridgefield,24959.0,5349.0,80.0,76.10447489878833
2023-06-01 00:00:00,Rocky Hill,20115.0,5313.0,157.0,69.85671394129847
2023-06-01 00:00:00,Roxbury,2152.0,398.0,2.0,0.0
2023-06-01 00:00:00,Salem,4083.0,1003.0,7.0,0.0
2023-06-01 00:00:00,Salisbury,3600.0,692.0,7.0,0.0
2023-06-01 00:00:00,Scotland,1672.0,139.0,2.0,0.0
2023-06-01 00:00:00,Seymour,16437.0,4888.0,90.0,0.0
2023-06-01 00:00:00,Sharon,2689.0,414.0,5.0,0.0
2023-06-01 00:00:00,Shelton,41129.0,12105.0,238.0,71.21903630490631
2023-06-01 00:00:00,Sherman,3630.0,596.0,3.0,0.0
2023-06-01 00:00:00,Simsbury,25395.0,4697.0,39.0,79.56058380019887
2023-06-01 00:00:00,Somers,10784.0,2481.0,25.0,0.0
2023-06-01 00:00:00,South Windsor,26162.0,5799.0,79.0,75.46330634734902
2023-06-01 00:00:00,Southbury,19571.0,4578.0,105.0,71.23036479242418
2023-06-01 00:00:00,Southington,43834.0,11249.0,151.0,20.532
2023-06-01 00:00:00,Sprague,2859.0,894.0,6.0,0.0
2023-06-01 00:00:00,Stafford,11893.0,2071.0,39.0,0.0
2023-06-01 00:00:00,Stamford,129638.0,36233.0,408.0,4.6283
2023-06-01 00:00:00,Sterling,3782.0,874.0,4.0,0.0
2023-06-01 00:00:00,Stonington,18559.0,4368.0,70.0,0.0
2023-06-01 00:00:00,Stratford,51849.0,17082.0,231.0,11.5721
2023-06-01 00:00:00,Suffield,15814.0,4445.0,56.0,61.59096004130204
2023-06-01 00:00:00,Thomaston,7535.0,2110.0,19.0,0.0
2023-06-01 00:00:00,Thompson,9379.0,2015.0,16.0,0.0
2023-06-01 00:00:00,Tolland,14618.0,2716.0,28.0,69.80521657408543
2023-06-01 00:00:00,Torrington,34044.0,9801.0,200.0,70.31452770118158
2023-06-01 00:00:00,Trumbull,35673.0,10683.0,189.0,67.0292120830503
2023-06-01 00:00:00,Union,839.0,260.0,2.0,0.0
2023-06-01 00:00:00,Vernon,29359.0,6111.0,92.0,0.0
2023-06-01 00:00:00,Voluntown,2510.0,627.0,7.0,0.0
2023-06-01 00:00:00,Wallingford,44326.0,13368.0,232.0,20.3041
2023-06-01 00:00:00,Warren,1395.0,179.0,0.0,0.0
2023-06-01 00:00:00,Washington,3428.0,635.0,2.0,59.103810302973855
2023-06-01 00:00:00,Waterbury,107568.0,38210.0,538.0,5.5779
2023-06-01 00:00:00,Waterford,18746.0,5521.0,93.0,62.182992718447004
2023-06-01 00:00:00,Watertown,21578.0,6019.0,93.0,64.75877833802693
2023-06-01 00:00:00,West Hartford,62965.0,14668.0,297.0,17.47
2023-06-01 00:00:00,West Haven,54620.0,16167.0,181.0,9.1542
2023-06-01 00:00:00,Westbrook,6869.0,1615.0,12.0,60.09438408510222
2023-06-01 00:00:00,Weston,10252.0,2045.0,8.0,0.0
2023-06-01 00:00:00,Westport,28491.0,6515.0,44.0,17.5494
2023-06-01 00:00:00,Wethersfield,26008.0,7180.0,67.0,0.0
2023-06-01 00:00:00,Willington,5864.0,987.0,6.0,0.0
2023-06-01 00:00:00,Wilton,18343.0,4047.0,66.0,70.35317553286453
